# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_comp4,lowflux_comp5,lowflux_comp6,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_comp4,outofframe_comp5,outofframe_comp6,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_comp4,skybg_comp5,skybg_comp6,skybg_target
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419055141.FITS.gz",2457862.746874366,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419055412.FITS.gz",2457862.7486237567,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419055712.FITS.gz",2457862.7507065637,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419060012.FITS.gz",2457862.7527900888,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419060312.FITS.gz",2457862.754874285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419060612.FITS.gz",2457862.7569575435,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419060912.FITS.gz",2457862.7590406286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419061212.FITS.gz",2457862.761124408,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419061512.FITS.gz",2457862.763208384,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419061812.FITS.gz",2457862.765291307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419062112.FITS.gz",2457862.7673744964,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419062412.FITS.gz",2457862.7694577314,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419062712.FITS.gz",2457862.771541303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419063012.FITS.gz",2457862.7736245845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419063312.FITS.gz",2457862.7757077855,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419063612.FITS.gz",2457862.777790778,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419063912.FITS.gz",2457862.7798756915,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419064212.FITS.gz",2457862.7819589386,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
