#TYPE=EXTENDED
#OBSCODE=NJED
#SOFTWARE=EXOTIC v4.0.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
000-BFT-449,2457862.74458,12.35694,0.04209,V,NO,STD,000-BJP-985,11.669,na,na,2.5313346,na,X37635BBS,na
000-BFT-449,2457862.74633,12.35838,0.04213,V,NO,STD,000-BJP-985,11.669,na,na,2.4849217,na,X37635BBS,na
000-BFT-449,2457862.74841,12.34876,0.0418,V,NO,STD,000-BJP-985,11.669,na,na,2.431835,na,X37635BBS,na
000-BFT-449,2457862.7505,12.32284,0.04092,V,NO,STD,000-BJP-985,11.669,na,na,2.3810949,na,X37635BBS,na
000-BFT-449,2457862.75258,12.33895,0.04146,V,NO,STD,000-BJP-985,11.669,na,na,2.3324694,na,X37635BBS,na
000-BFT-449,2457862.75466,12.352,0.0419,V,NO,STD,000-BJP-985,11.669,na,na,2.2859176,na,X37635BBS,na
000-BFT-449,2457862.75675,12.39278,0.04333,V,NO,STD,000-BJP-985,11.669,na,na,2.2413154,na,X37635BBS,na
000-BFT-449,2457862.75883,12.38627,0.04309,V,NO,STD,000-BJP-985,11.669,na,na,2.1984731,na,X37635BBS,na
000-BFT-449,2457862.76091,12.369,0.04248,V,NO,STD,000-BJP-985,11.669,na,na,2.1573669,na,X37635BBS,na
000-BFT-449,2457862.763,12.38487,0.04303,V,NO,STD,000-BJP-985,11.669,na,na,2.1178984,na,X37635BBS,na
000-BFT-449,2457862.76508,12.35353,0.04194,V,NO,STD,000-BJP-985,11.669,na,na,2.0799109,na,X37635BBS,na
000-BFT-449,2457862.76716,12.42129,0.04434,V,NO,STD,000-BJP-985,11.669,na,na,2.0434552,na,X37635BBS,na
000-BFT-449,2457862.76925,12.37837,0.0428,V,NO,STD,000-BJP-985,11.669,na,na,2.0083232,na,X37635BBS,na
000-BFT-449,2457862.77133,12.33816,0.04141,V,NO,STD,000-BJP-985,11.669,na,na,1.9745083,na,X37635BBS,na
000-BFT-449,2457862.77341,12.37204,0.04257,V,NO,STD,000-BJP-985,11.669,na,na,1.9419425,na,X37635BBS,na
000-BFT-449,2457862.7755,12.34648,0.04169,V,NO,STD,000-BJP-985,11.669,na,na,1.9105083,na,X37635BBS,na
000-BFT-449,2457862.77758,12.30853,0.04042,V,NO,STD,000-BJP-985,11.669,na,na,1.8802575,na,X37635BBS,na
000-BFT-449,2457862.77966,12.34001,0.04146,V,NO,STD,000-BJP-985,11.669,na,na,1.8510784,na,X37635BBS,na
000-BFT-449,2457862.78175,12.35843,0.04209,V,NO,STD,000-BJP-985,11.669,na,na,1.8228712,na,X37635BBS,na
000-BFT-449,2457862.78383,12.33318,0.04123,V,NO,STD,000-BJP-985,11.669,na,na,1.7956864,na,X37635BBS,na
000-BFT-449,2457862.78591,12.36604,0.04235,V,NO,STD,000-BJP-985,11.669,na,na,1.7693835,na,X37635BBS,na
000-BFT-449,2457862.78799,12.35534,0.04198,V,NO,STD,000-BJP-985,11.669,na,na,1.7439685,na,X37635BBS,na
000-BFT-449,2457862.79008,12.38825,0.04313,V,NO,STD,000-BJP-985,11.669,na,na,1.7194433,na,X37635BBS,na
000-BFT-449,2457862.79216,12.32857,0.04107,V,NO,STD,000-BJP-985,11.669,na,na,1.6956852,na,X37635BBS,na
000-BFT-449,2457862.85466,12.35267,0.04185,V,NO,STD,000-BJP-985,11.669,na,na,1.2400901,na,X37635BBS,na
000-BFT-449,2457862.85675,12.36945,0.04243,V,NO,STD,000-BJP-985,11.669,na,na,1.2307833,na,X37635BBS,na
000-BFT-449,2457862.85883,12.35386,0.04189,V,NO,STD,000-BJP-985,11.669,na,na,1.2217459,na,X37635BBS,na
000-BFT-449,2457862.86091,12.36426,0.04225,V,NO,STD,000-BJP-985,11.669,na,na,1.2129701,na,X37635BBS,na
000-BFT-449,2457862.86299,12.3645,0.04225,V,NO,STD,000-BJP-985,11.669,na,na,1.2044766,na,X37635BBS,na
000-BFT-449,2457862.86507,12.39321,0.04326,V,NO,STD,000-BJP-985,11.669,na,na,1.1961874,na,X37635BBS,na
