#TYPE=EXOPLANET
#OBSCODE=NJED
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v3.3.0
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=TrES-3
#EXOPLANET_NAME=TrES-3 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=First image seeing 99 (0: poor, 100: excellent), Teltemp - Camtemp 21.0.  These observations were conducted with MicroObservatory, a robotic telescope network managed by the Harvard-Smithsonian Center for Astrophysics on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=V
#FILTER-XC={"name": "V", "desc": "Johnson V", "fwhm": [{"value": "502.8", "units": "nm"}, {"value": "586.8", "units": "nm"}]}
#PRIORS=Period=1.30618635 +/- 4e-08,Rp/R*=0.15731 +/- 0.00046,a/R*=6.0 +/- 0.75,inc=82.0 +/- 0.3,ecc=0.043,u0=1.749 +/- 0.016,u1=-2.933 +/- 0.064,u2=3.495 +/- 0.083,u3=-1.31 +/- 0.035
#PRIORS-XC={"Period": {"value": "1.30618635", "uncertainty": "4e-08", "units": "days"}, "Rp/R*": {"value": "0.15731", "uncertainty": "0.00046"}, "a/R*": {"value": "6.0", "uncertainty": "0.75"}, "inc": {"value": "82.0", "uncertainty": "0.3", "units": "degrees"}, "ecc": {"value": "0.043", "uncertainty": null}, "u0": {"value": "1.749", "uncertainty": "0.016"}, "u1": {"value": "-2.933", "uncertainty": "0.064"}, "u2": {"value": "3.495", "uncertainty": "0.083"}, "u3": {"value": "-1.31", "uncertainty": "0.035"}}
#RESULTS=Tc=2457862.82713 +/- 0.00061,Rp/R*=0.196 +/- 0.016,a/R*=5.88 +/- 0.39,Am1=1.166 +/- 0.019,Am2=-0.1264 +/- 0.0045
#RESULTS-XC={"Tc": {"value": "2457862.82713", "uncertainty": "0.00061", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.196", "uncertainty": "0.016"}, "a/R*": {"value": "5.88", "uncertainty": "0.39"}, "Am1": {"value": "1.166", "uncertainty": "0.019"}, "Am2": {"value": "-0.1264", "uncertainty": "0.0045"}, "Duration": {"value": "0.063", "uncertainty": "0.0089", "units": "days"}}
#EPW_MD5-XC={"epw_checkout_md5": "53ec0f316f2785c25e654b6ad2fa4798"}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2457862.74687437,0.851924,0.0151266,2.5313346,0.8469687
2457862.74862376,0.8476998,0.0152129,2.4849217,0.8519504
2457862.75070656,0.8611531,0.0153123,2.431835,0.8576843
2457862.75279009,0.8838246,0.0154079,2.3810949,0.8632009
2457862.75487428,0.8916156,0.0155001,2.3324694,0.8685209
2457862.75695754,0.8789726,0.0155888,2.2859176,0.8736447
2457862.75904063,0.8634413,0.0156743,2.2413154,0.8785823
2457862.76112441,0.8724146,0.0157569,2.1984731,0.8833513
2457862.76320838,0.8785946,0.0158366,2.1573669,0.8879514
2457862.76529131,0.8748846,0.0159134,2.1178984,0.8923908
2457862.7673745,0.904926,0.0159877,2.0799109,0.8966845
2457862.76945773,0.8707086,0.0160594,2.0434552,0.9008246
2457862.7715413,0.8921359,0.0161287,2.0083232,0.9048323
2457862.77362458,0.9302753,0.0161958,1.9745083,0.9087067
2457862.77570779,0.9052152,0.0162606,1.9419425,0.9124537
2457862.77779078,0.9262703,0.0163234,1.9105083,0.9160851
2457862.77987569,0.945094,0.0163841,1.8802575,0.9195934
2457862.78195894,0.9356665,0.0164428,1.8510784,0.9229902
2457862.78404112,0.930058,0.0164998,1.8228712,0.9262858
2457862.78612456,0.9382096,0.0165549,1.7956864,0.929473
2457862.78820698,0.9244862,0.0166084,1.7693835,0.9325673
2457862.79028841,0.9252824,0.0166603,1.7439685,0.9355669
2457862.79237132,0.9071469,0.0167105,1.7194433,0.9384706
2457862.7944548,0.9500423,0.0167592,1.6956852,0.9412922
2457862.79653558,0.9356742,0.0168062,1.6728588,0.944011
2457862.79861627,0.9676081,0.0168521,1.6506505,0.9466638
2457862.80070956,0.9388142,0.0168969,1.6290042,0.9492566
2457862.80279012,0.9460422,0.0169401,1.6081882,0.9517567
2457862.8048717,0.9425934,0.016982,1.5880234,0.9541848
2457862.80695253,0.9253314,0.0170225,1.5686159,0.9565276
2457862.80903362,0.9484564,0.0170621,1.5496723,0.9588199
2457862.81112612,0.9622377,0.0171007,1.5312439,0.9610552
2457862.81320712,0.9393637,0.0171381,1.5134346,0.9632203
2457862.8152894,0.9561261,0.0171743,1.4962175,0.9653181
2457862.81737052,0.948454,0.0172096,1.4794829,0.9673614
2457862.81945186,0.9334189,0.0172437,1.4633512,0.9693353
2457862.82153297,0.9174059,0.017277,1.4476094,0.9712653
2457862.82362609,0.95614,0.0173096,1.4322484,0.9731523
2457862.82570741,0.9649213,0.0173411,1.4174084,0.9749788
2457862.82778849,0.9379919,0.0173718,1.403019,0.9767531
2457862.82986969,0.9409035,0.0174014,1.3891338,0.9784683
2457862.83195089,0.9485033,0.0174303,1.375572,0.9801465
2457862.83404414,0.9369058,0.0174587,1.3623271,0.9817882
2457862.83612466,0.9586347,0.0174861,1.349542,0.9833755
2457862.83821713,0.9452793,0.0175129,1.3370522,0.9849287
2457862.84028702,0.972402,0.0175385,1.3251135,0.9864156
2457862.8423685,0.9610676,0.0175638,1.3133852,0.9878785
2457862.84446139,0.9743038,0.0175885,1.3019247,0.9893101
2457862.84654416,0.9744869,0.0176124,1.2908745,0.9906924
2457862.84862513,0.9824245,0.0176356,1.2801101,0.9920408
2457862.85070589,0.985444,0.0176582,1.2696764,0.9933496
2457862.85278735,1.0105295,0.0176801,1.2595789,0.9946178
2457862.85486829,0.9939117,0.0177015,1.2497236,0.9958571
2457862.8569618,0.9885347,0.0177224,1.2400901,0.9970701
2457862.85904323,0.9981443,0.0177426,1.2307833,0.9982433
2457862.86112434,1.0119049,0.0177623,1.2217459,0.9993839
2457862.86320585,1.0274464,0.0177815,1.2129701,1.0004927
2457862.86528693,1.0078192,0.0178,1.2044766,1.001567
2457862.86736835,0.9887899,0.0178181,1.1961874,1.0026166
2457862.86946185,1.0209429,0.0178358,1.1880993,1.0036418
2457862.87155512,1.0086292,0.017853,1.180248,1.004638
2457862.873625,1.0196798,0.0178695,1.1727023,1.0055963
2457862.87570652,0.9956596,0.0178856,1.16534,1.0065322
2457862.87778769,0.9924493,0.0179012,1.1582295,1.0074369
2457862.87986907,1.0018557,0.0179165,1.151282,1.0083217
2457862.8819617,1.0023321,0.0179314,1.1445186,1.0091838
2457862.88404324,0.9924833,0.0179457,1.1379903,1.0100166
2457862.88613592,1.0058386,0.0179598,1.1316158,1.0108305
2457862.88820525,0.9920341,0.0179731,1.1255468,1.0116059
2457862.89028622,0.9600544,0.0179863,1.1196011,1.0123662
2457862.89237881,0.9759987,0.0179991,1.1137993,1.0131087
2457862.8944594,0.9831462,0.0180114,1.1082147,1.0138238
2457862.89654009,1.0085209,0.0180233,1.10284,1.0145126
2457862.89862181,1.0092356,0.0180348,1.0976074,1.0151835
2457862.90071412,0.9710943,0.0180461,1.0925159,1.0158369
2457862.90279343,1.0214957,0.0180569,1.0876214,1.0164653
2457862.90487234,0.9890797,0.0180674,1.0829175,1.0170696
2457862.90696305,1.0192704,0.0180775,1.0783296,1.0176594
2457862.90904249,1.0525924,0.0180873,1.0739173,1.018227
2457862.91112184,1.0326634,0.0180967,1.0696898,1.018771
2457862.913213,1.0312209,0.0181058,1.0655722,1.0193012
2457862.91529209,1.013909,0.0181146,1.0616252,1.0198097
2457862.91737396,1.0230244,0.018123,1.0578434,1.0202971
2457862.91946486,1.021003,0.0181312,1.0541726,1.0207705
2457862.92154369,1.0338213,0.018139,1.0506667,1.0212228
2457862.92362278,1.0108407,0.0181464,1.0473258,1.021654
2457862.9257138,1.0525739,0.0181536,1.044084,1.0220725
2457862.92779387,1.0423455,0.0181605,1.0410004,1.0224709
2457862.92987332,1.0303752,0.018167,1.0380695,1.0228496
2457862.93196486,1.0374704,0.0181733,1.0352423,1.023215
2457862.93404352,1.0411222,0.0181793,1.0325656,1.0235612
2457862.93612335,1.046058,0.0181849,1.0300336,1.0238887
2457862.93820437,1.0499359,0.0181903,1.0276197,1.024201
2457862.94029598,1.0218151,0.0181955,1.0253216,1.0244985
2457862.94237512,1.018956,0.0182002,1.0231755,1.0247764
2457862.94446554,1.0338726,0.0182048,1.0211332,1.0250408
2457862.94654407,1.0049884,0.0182091,1.0192319,1.0252871
2457862.94862302,1.0414919,0.018213,1.0174641,1.0255162
2457862.95071324,1.0292405,0.0182167,1.0158008,1.0257317
2457862.95279382,1.0233699,0.0182201,1.0142688,1.0259303
2457862.9548845,1.0399001,0.0182233,1.0128601,1.0261129
2457862.95696451,1.030695,0.0182262,1.0115726,1.0262799
