BJD,Norm Flux,Norm Err,AM
2455451.59749267,1.0136309,0.035876,1.01
2455451.60165986,1.0389413,0.035837,1.01
2455451.60374446,1.0225726,0.035814,1.01
2455451.60582329,0.9556043,0.035788,1.01
2455451.60789147,1.0123613,0.035762,1.02
2455451.60999426,1.0236756,0.035732,1.02
2455451.61207413,0.9810531,0.035701,1.02
2455451.61415521,0.9909857,0.035667,1.02
2455451.61623538,0.9750387,0.035631,1.02
2455451.61830642,0.9826367,0.035594,1.03
2455451.62039945,0.9881402,0.035553,1.03
2455451.62249092,1.0146243,0.035511,1.03
2455451.6245698,0.9780779,0.035467,1.03
2455451.62664953,1.0090579,0.03542,1.04
2455451.62873337,1.0209407,0.035371,1.04
2455451.63082529,1.0378388,0.03532,1.04
2455451.63290546,0.9703013,0.035266,1.05
2455451.6349865,1.0421685,0.035211,1.05
2455451.63706613,1.0525725,0.035153,1.05
2455451.63914722,0.9932546,0.035093,1.06
2455451.64123855,1.0113964,0.03503,1.06
2455451.64331876,1.0477108,0.034964,1.06
2455451.64539817,1.052611,0.034897,1.07
2455451.64748836,1.0447877,0.034827,1.07
2455451.64956821,1.0523731,0.034755,1.08
2455451.65164825,0.9489911,0.03468,1.08
2455451.65373961,0.933998,0.034602,1.08
2455451.6558192,1.0081357,0.034522,1.09
2455451.6578999,1.0236691,0.03444,1.09
2455451.65999136,0.9478073,0.034355,1.1
2455451.6641521,0.973282,0.034177,1.11
2455451.6662227,0.9576937,0.034084,1.12
2455451.66831424,0.9719017,0.033988,1.12
2455451.6703981,0.9601788,0.033889,1.13
2455451.67249018,1.01192,0.033787,1.13
2455451.67457105,1.0067454,0.033683,1.14
2455451.67665088,0.9754495,0.033575,1.15
