# #x_centroid, y_centroid, amplitude, sigma_x, sigma_y, rotation offset
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.896535 11.984502 19.999993 -0.782124 3749.847555
244.994478 189.994417 15.892154 11.984485 20.000000 -0.783706 3749.850234
244.994478 189.994417 15.908557 19.999979 11.995409 0.784500 3749.834108
244.994478 189.994417 15.887577 20.000000 11.979019 0.785200 3749.856329
245.004390 190.010391 504.561132 0.913559 0.688651 0.229557 2205.189505
244.998004 190.027876 12.044450 0.500000 0.511625 -0.785328 1122.544429
244.991888 190.017686 500.694942 0.899121 0.713766 0.478202 612.340883
245.006829 190.068855 590.584474 0.741432 0.730901 0.067268 354.942355
244.996368 190.142801 16.628078 10.410161 0.500000 0.000935 216.370855
244.993479 189.952680 631.910957 0.676606 0.712394 -0.785398 134.282314
245.013267 190.029259 554.047757 0.840356 0.692353 0.353882 88.011521
244.975395 190.224972 596.646231 0.751908 0.687569 0.226352 62.817022
244.925103 190.342315 506.348189 0.904949 0.709614 0.145668 47.362695
244.980793 190.029299 439.419152 0.711094 1.038313 -0.785398 38.402691
244.971665 190.479527 462.721949 0.808587 0.856675 -0.785398 34.334623
245.007124 190.694245 543.989945 0.858870 0.683683 -0.140247 30.775488
245.029264 190.820761 0.000000 0.500000 0.500000 0.780975 30.865245
245.047946 190.302916 595.306986 0.781757 0.684075 -0.218751 27.413547
244.772032 189.976974 660.930177 0.738453 0.625828 -0.049647 27.964283
245.210545 190.094139 0.000000 0.500000 0.500000 -0.767076 29.535380
245.025811 190.159241 529.787385 0.852618 0.718294 0.233921 26.663764
244.770002 190.479098 633.957346 0.779629 0.627120 -0.098715 27.606741
244.975867 190.892962 470.498995 0.971829 0.709160 0.515207 27.545388
244.935926 191.080013 595.864987 0.801733 0.679071 -0.124480 27.485542
244.864566 190.316912 588.357398 0.812862 0.669898 0.177111 27.171366
245.233637 190.575529 0.000000 0.500000 0.500000 -0.775652 29.404266
245.194661 190.577030 0.000015 0.500000 0.500000 0.781609 30.384496
244.797196 190.940214 537.467326 0.717610 0.834880 -0.785398 27.474831
245.003787 190.284385 513.063966 0.951454 0.676007 0.185483 27.246694
245.253697 190.487701 0.000281 0.500000 0.500000 0.565330 29.380334
245.236132 190.496411 0.000001 0.500000 0.500000 -0.785395 28.917274
245.306742 190.760052 0.000001 0.500000 0.500000 -0.577257 28.377211
245.268776 190.653115 0.000006 0.500000 0.500000 -0.779316 29.768469
245.328588 189.997241 0.000039 0.500000 0.500000 0.777671 29.419873
245.572416 190.076943 0.000002 0.500000 0.500000 0.785266 29.820499
245.357335 190.212185 0.000000 0.500000 0.500000 -0.772892 30.052549
245.188781 190.325315 0.000054 0.500000 0.500000 0.528485 30.950565
245.424869 190.259734 37.459456 0.500000 0.579487 0.785397 32.148573
245.469978 190.846364 40.849838 0.540169 0.500493 0.499414 31.303514
245.392921 189.839891 0.005984 0.500001 0.500001 -0.600356 30.929752
245.550499 190.066670 0.000164 0.500000 0.500000 0.078722 31.450063
245.549415 190.030946 0.000000 0.500000 0.500000 -0.780189 31.171176
245.416728 190.141369 0.000000 0.500000 0.500000 -0.777533 31.724766
245.483099 190.245518 0.000000 0.500000 0.500000 -0.785361 31.600937
245.563445 189.443479 0.000003 0.500000 0.500000 -0.784417 31.560353
245.522050 189.471354 0.001084 0.500000 0.500000 0.619653 31.866306
