#TYPE=EXOPLANET
#OBSCODE=NJED
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.0.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=TrES-3
#EXOPLANET_NAME=TrES-3 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=First image seeing 99 (0: poor, 100: excellent), Teltemp - Camtemp 21.0.  These observations were conducted with MicroObservatory, a robotic telescope network managed by the Harvard-Smithsonian Center for Astrophysics on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=V
#FILTER-XC={"name": "V", "desc": "Johnson V", "fwhm": [{"value": "502.8", "units": "nm"}, {"value": "586.8", "units": "nm"}]}
#PRIORS=Period=1.30618635 +/- 4e-08,Rp/R*=0.15731 +/- 0.00046,a/R*=6.0 +/- 0.75,inc=82.0 +/- 0.3,ecc=0.043,u0=1.749 +/- 0.016,u1=-2.933 +/- 0.064,u2=3.495 +/- 0.083,u3=-1.31 +/- 0.035
#PRIORS-XC={"Period": {"value": "1.30618635", "uncertainty": "4e-08", "units": "days"}, "Rp/R*": {"value": "0.15731", "uncertainty": "0.00046"}, "a/R*": {"value": "6.0", "uncertainty": "0.75"}, "inc": {"value": "82.0", "uncertainty": "0.3", "units": "degrees"}, "ecc": {"value": "0.043", "uncertainty": null}, "u0": {"value": "1.749", "uncertainty": "0.016"}, "u1": {"value": "-2.933", "uncertainty": "0.064"}, "u2": {"value": "3.495", "uncertainty": "0.083"}, "u3": {"value": "-1.31", "uncertainty": "0.035"}}
#RESULTS=Tc=2457862.82708 +/- 0.00062,Rp/R*=0.196 +/- 0.018,inc=82.27 +/- 0.75,Am1=1.165 +/- 0.019,Am2=-0.1256 +/- 0.0044
#RESULTS-XC={"Tc": {"value": "2457862.82708", "uncertainty": "0.00062", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.196", "uncertainty": "0.018"}, "inc": {"value": "82.27", "uncertainty": "0.75"}, "Am1": {"value": "1.165", "uncertainty": "0.019"}, "Am2": {"value": "-0.1256", "uncertainty": "0.0044"}, "Duration": {"value": "0.062", "uncertainty": "0.0063", "units": "days"}}
#EPW_MD5-XC={"epw_checkout_md5": "53ec0f316f2785c25e654b6ad2fa4798"}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2457862.74687437,0.851924,0.0151285,2.5313346,0.8476397
2457862.74862376,0.8476998,0.0152148,2.4849217,0.8525962
2457862.75070656,0.8611531,0.0153142,2.431835,0.8583009
2457862.75279009,0.8838246,0.0154097,2.3810949,0.8637891
2457862.75487428,0.8916156,0.0155019,2.3324694,0.8690814
2457862.75695754,0.8789726,0.0155906,2.2859176,0.8741785
2457862.75904063,0.8634413,0.0156761,2.2413154,0.8790902
2457862.76112441,0.8724146,0.0157587,2.1984731,0.883834
2457862.76320838,0.8785946,0.0158383,2.1573669,0.8884096
2457862.76529131,0.8748846,0.0159152,2.1178984,0.8928253
2457862.7673745,0.904926,0.0159895,2.0799109,0.897096
2457862.76945773,0.8707086,0.0160611,2.0434552,0.9012136
2457862.7715413,0.8921359,0.0161305,2.0083232,0.9051997
2457862.77362458,0.9302753,0.0161975,1.9745083,0.9090529
2457862.77570779,0.9052152,0.0162623,1.9419425,0.9127794
2457862.77779078,0.9262703,0.0163251,1.9105083,0.9163908
2457862.77987569,0.945094,0.0163858,1.8802575,0.9198798
2457862.78195894,0.9356665,0.0164445,1.8510784,0.9232577
2457862.78404112,0.930058,0.0165015,1.8228712,0.9265349
2457862.78612456,0.9382096,0.0165566,1.7956864,0.9297044
2457862.78820698,0.9244862,0.0166101,1.7693835,0.9327813
2457862.79028841,0.9252824,0.0166619,1.7439685,0.9357641
2457862.79237132,0.9071469,0.0167121,1.7194433,0.9386514
2457862.7944548,0.9500423,0.0167608,1.6956852,0.941457
2457862.79653558,0.9356742,0.0168078,1.6728588,0.9441604
2457862.79861627,0.9676081,0.0168536,1.6506505,0.9467981
2457862.80070956,0.9388142,0.0168984,1.6290042,0.9493761
2457862.80279012,0.9460422,0.0169416,1.6081882,0.9518618
2457862.8048717,0.9425934,0.0169836,1.5880234,0.954276
2457862.80695253,0.9253314,0.017024,1.5686159,0.9566053
2457862.80903362,0.9484564,0.0170636,1.5496723,0.9588844
2457862.81112612,0.9622377,0.0171022,1.5312439,0.9611068
2457862.81320712,0.9393637,0.0171396,1.5134346,0.9632593
2457862.8152894,0.9561261,0.0171758,1.4962175,0.9653449
2457862.81737052,0.948454,0.0172111,1.4794829,0.9673764
2457862.81945186,0.9334189,0.0172452,1.4633512,0.9693387
2457862.82153297,0.9174059,0.0172785,1.4476094,0.9712574
2457862.82362609,0.95614,0.0173111,1.4322484,0.9731334
2457862.82570741,0.9649213,0.0173426,1.4174084,0.9749492
2457862.82778849,0.9379919,0.0173733,1.403019,0.976713
2457862.82986969,0.9409035,0.0174029,1.3891338,0.9784181
2457862.83195089,0.9485033,0.0174318,1.375572,0.9800864
2457862.83404414,0.9369058,0.0174602,1.3623271,0.9817184
2457862.83612466,0.9586347,0.0174876,1.349542,0.9832964
2457862.83821713,0.9452793,0.0175144,1.3370522,0.9848403
2457862.84028702,0.972402,0.01754,1.3251135,0.9863184
2457862.8423685,0.9610676,0.0175653,1.3133852,0.9877726
2457862.84446139,0.9743038,0.01759,1.3019247,0.9891957
2457862.84654416,0.9744869,0.0176138,1.2908745,0.9905698
2457862.84862513,0.9824245,0.0176371,1.2801101,0.9919101
2457862.85070589,0.985444,0.0176596,1.2696764,0.993211
2457862.85278735,1.0105295,0.0176815,1.2595789,0.9944717
2457862.85486829,0.9939117,0.0177029,1.2497236,0.9957036
2457862.8569618,0.9885347,0.0177238,1.2400901,0.9969093
2457862.85904323,0.9981443,0.0177441,1.2307833,0.9980754
2457862.86112434,1.0119049,0.0177637,1.2217459,0.9992092
2457862.86320585,1.0274464,0.0177829,1.2129701,1.0003113
2457862.86528693,1.0078192,0.0178014,1.2044766,1.0013791
2457862.86736835,0.9887899,0.0178195,1.1961874,1.0024224
2457862.86946185,1.0209429,0.0178372,1.1880993,1.0034414
2457862.87155512,1.0086292,0.0178544,1.180248,1.0044315
2457862.873625,1.0196798,0.0178709,1.1727023,1.0053841
2457862.87570652,0.9956596,0.017887,1.16534,1.0063143
2457862.87778769,0.9924493,0.0179026,1.1582295,1.0072136
2457862.87986907,1.0018557,0.0179179,1.151282,1.008093
2457862.8819617,1.0023321,0.0179328,1.1445186,1.0089498
2457862.88404324,0.9924833,0.0179471,1.1379903,1.0097776
2457862.88613592,1.0058386,0.0179612,1.1316158,1.0105865
2457862.88820525,0.9920341,0.0179745,1.1255468,1.0113572
2457862.89028622,0.9600544,0.0179876,1.1196011,1.0121129
2457862.89237881,0.9759987,0.0180004,1.1137993,1.0128508
2457862.8944594,0.9831462,0.0180128,1.1082147,1.0135616
2457862.89654009,1.0085209,0.0180246,1.10284,1.0142461
2457862.89862181,1.0092356,0.0180362,1.0976074,1.014913
2457862.90071412,0.9710943,0.0180475,1.0925159,1.0155624
2457862.90279343,1.0214957,0.0180583,1.0876214,1.016187
2457862.90487234,0.9890797,0.0180687,1.0829175,1.0167876
2457862.90696305,1.0192704,0.0180789,1.0783296,1.0173738
2457862.90904249,1.0525924,0.0180887,1.0739173,1.0179378
2457862.91112184,1.0326634,0.0180981,1.0696898,1.0184785
2457862.913213,1.0312209,0.0181072,1.0655722,1.0190055
2457862.91529209,1.013909,0.018116,1.0616252,1.0195108
2457862.91737396,1.0230244,0.0181244,1.0578434,1.0199953
2457862.91946486,1.021003,0.0181325,1.0541726,1.0204657
2457862.92154369,1.0338213,0.0181403,1.0506667,1.0209153
2457862.92362278,1.0108407,0.0181478,1.0473258,1.0213438
2457862.9257138,1.0525739,0.018155,1.044084,1.0217598
2457862.92779387,1.0423455,0.0181618,1.0410004,1.0221557
2457862.92987332,1.0303752,0.0181684,1.0380695,1.0225321
2457862.93196486,1.0374704,0.0181747,1.0352423,1.0228953
2457862.93404352,1.0411222,0.0181806,1.0325656,1.0232393
2457862.93612335,1.046058,0.0181863,1.0300336,1.0235648
2457862.93820437,1.0499359,0.0181917,1.0276197,1.0238752
2457862.94029598,1.0218151,0.0181968,1.0253216,1.0241708
2457862.94237512,1.018956,0.0182016,1.0231755,1.024447
2457862.94446554,1.0338726,0.0182061,1.0211332,1.0247098
2457862.94654407,1.0049884,0.0182104,1.0192319,1.0249546
2457862.94862302,1.0414919,0.0182143,1.0174641,1.0251822
2457862.95071324,1.0292405,0.018218,1.0158008,1.0253965
2457862.95279382,1.0233699,0.0182215,1.0142688,1.0255938
2457862.9548845,1.0399001,0.0182246,1.0128601,1.0257753
2457862.95696451,1.030695,0.0182275,1.0115726,1.0259412
